hand_strength,preflop_street,preflop_position,preflop_pot_size,preflop_stack_size,preflop_num_players,flop_street,flop_position,flop_pot_size,flop_stack_size,flop_num_players,turn_street,turn_position,turn_pot_size,turn_stack_size,turn_num_players,river_street,river_position,river_pot_size,river_stack_size,river_num_players,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,action_22,action_23,action_24,action_25,action_26,action_27,action_28,action_29,action_30,action_31,action_32,action_33,action_34,action_35,action_36,action_37,action_38,action_39
2,0,6,391,2226,5,1,1,744,116,7,2,8,284,3684,9,3,0,316,2895,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,0,2,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,1,370,2325,6,1,4,635,3709,2,2,5,214,927,8,3,0,681,3986,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1
1,0,4,934,1655,4,1,7,911,2966,8,2,3,666,3625,9,3,1,210,2846,6,7,2,7,-1,-1,-1,-1,-1,-1,-1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,5,897,2843,9,1,3,44,954,4,2,4,839,665,5,3,0,15,150,5,2,6,2,2,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,3,3,0,3,-1,-1,-1,-1,-1,-1
2,0,3,955,4319,6,1,2,562,3915,9,2,5,389,2737,7,3,7,510,2750,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1
3,0,3,861,2850,6,1,4,665,4777,8,2,8,507,2538,6,3,4,251,442,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1
3,0,8,371,3230,2,1,3,577,4286,3,2,2,921,2956,8,3,6,652,1352,2,6,2,6,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0,294,1328,3,1,5,523,2572,7,2,3,615,4042,5,3,1,297,3118,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,-1,-1,-1,-1,-1,-1,2,1,0,2,-1,-1,-1,-1,-1,-1
1,0,2,778,187,6,1,6,128,4001,5,2,5,842,2792,4,3,6,924,3493,9,7,6,2,7,-1,-1,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,-1,-1,-1,-1,-1,-1
2,0,0,656,323,9,1,3,215,3071,8,2,5,604,4835,4,3,8,945,3321,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,2,0,1,2,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1
3,0,0,411,1862,2,1,0,969,2794,2,2,0,65,3336,7,3,7,758,3238,9,2,6,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1
2,0,3,722,4749,7,1,4,239,2002,8,2,1,971,594,5,3,0,151,2580,2,1,0,0,0,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,5,335,3984,8,1,6,290,1413,5,2,4,199,1512,2,3,2,100,1437,9,0,2,2,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,1,338,3779,2,1,0,964,1971,4,2,3,898,353,6,3,2,254,297,9,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,-1
2,0,8,941,4288,7,1,7,840,2541,8,2,5,171,1579,8,3,7,947,1713,8,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1
2,0,1,405,1109,4,1,5,547,1041,8,2,2,973,2524,4,3,1,76,1771,2,0,2,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,-1,-1,-1,-1,-1,-1,2,0,2,-1,-1,-1,-1,-1,-1,-1
2,0,3,949,1210,8,1,3,629,956,9,2,8,368,4855,9,3,5,403,221,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1
3,0,3,625,3854,2,1,5,889,2562,6,2,6,95,3510,6,3,6,846,4041,9,2,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,0,864,3645,3,1,1,905,1705,6,2,5,160,1166,7,3,2,277,3186,3,7,2,7,-1,-1,-1,-1,-1,-1,-1,3,1,1,-1,-1,-1,-1,-1,-1,-1,1,3,4,3,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,3,736,4058,5,1,4,48,1780,6,2,6,63,4412,8,3,4,218,2044,8,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,1,955,751,9,1,0,186,3620,8,2,8,999,2652,9,3,0,579,2371,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,-1
3,0,8,266,1635,8,1,8,20,3243,9,2,5,917,2145,3,3,2,862,846,7,2,6,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1
2,0,3,644,3698,6,1,1,870,1965,9,2,2,855,432,5,3,8,768,4596,2,0,2,1,1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,3,540,3406,9,1,4,520,3301,2,2,1,340,4328,5,3,2,380,1859,9,6,2,7,7,-1,-1,-1,-1,-1,-1,1,4,1,4,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1
3,0,3,416,1562,8,1,7,188,192,2,2,3,495,4715,5,3,8,611,811,8,0,6,6,0,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,3,1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1
3,0,6,557,3182,9,1,5,594,3348,4,2,5,816,850,3,3,3,988,2354,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,1,267,4114,2,1,5,250,1497,2,2,6,960,256,4,3,0,926,4432,9,6,2,6,2,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,0,-1,-1,-1,-1,-1,-1
3,0,8,437,2486,6,1,0,707,2917,8,2,1,940,4252,7,3,3,587,372,7,6,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1
1,0,6,792,3281,2,1,3,464,1615,6,2,4,941,1385,5,3,6,851,4186,7,6,7,6,6,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1
1,0,1,769,1350,7,1,3,434,2582,5,2,2,106,1799,5,3,4,239,3257,4,2,7,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,-1,-1,-1,-1,-1,-1,-1,3,1,4,-1,-1,-1,-1,-1,-1,-1
2,0,6,338,2291,3,1,4,549,3509,8,2,5,706,4171,7,3,1,308,2703,2,2,2,1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,3,996,1835,3,1,5,483,4294,5,2,0,196,1570,4,3,3,349,4036,5,0,2,0,2,-1,-1,-1,-1,-1,-1,1,1,0,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0,638,3594,5,1,1,836,226,4,2,1,587,1243,9,3,0,941,4793,6,0,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0,787,3974,7,1,4,894,132,2,2,0,550,4416,2,3,4,669,2630,5,2,2,2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,1,762,793,2,1,2,81,4290,3,2,7,953,4586,5,3,8,277,3768,7,2,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,3,3,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1
3,0,0,456,4490,6,1,8,193,3453,5,2,1,385,3664,6,3,1,275,901,8,2,0,2,2,-1,-1,-1,-1,-1,-1,3,1,3,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,3,20,3502,5,1,2,830,842,6,2,0,219,1788,7,3,7,94,2409,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1
2,0,3,889,4949,6,1,8,139,1253,6,2,4,338,226,5,3,8,246,1788,3,0,0,0,0,-1,-1,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,6,992,2483,5,1,6,556,4527,5,2,7,407,979,8,3,0,139,4121,6,6,6,7,-1,-1,-1,-1,-1,-1,-1,4,3,4,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,1,804,3595,3,1,3,515,2772,9,2,4,161,4870,5,3,1,726,3208,6,1,2,1,2,-1,-1,-1,-1,-1,-1,0,0,0,2,-1,-1,-1,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1
3,0,8,493,137,6,1,3,428,1492,7,2,6,14,175,7,3,3,426,2148,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,3,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,-1,-1
2,0,8,244,614,4,1,8,30,4653,3,2,2,34,3265,5,3,5,750,656,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1
2,0,0,596,1703,6,1,1,109,4990,3,2,5,103,4042,8,3,1,781,3123,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1,-1,-1,-1,-1,-1,-1,1,2,0,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0,200,4726,8,1,8,774,187,5,2,2,471,4882,3,3,6,551,3471,7,2,2,0,-1,-1,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,-1,0,2,1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,0,732,2320,8,1,4,810,4014,2,2,7,525,3493,6,3,8,392,1772,9,7,7,6,-1,-1,-1,-1,-1,-1,-1,3,1,1,1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1
3,0,4,888,3679,7,1,8,131,2705,5,2,0,229,4989,4,3,8,721,1881,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,3,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1
2,0,4,119,193,2,1,6,908,1032,8,2,8,363,4450,3,3,6,649,2894,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,4,942,1763,3,1,5,845,4433,9,2,0,348,3889,2,3,0,304,4577,3,0,2,2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0,460,2511,6,1,8,146,4302,8,2,4,337,4949,3,3,6,289,3889,2,2,0,2,1,-1,-1,-1,-1,-1,-1,0,2,0,0,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1
3,0,3,296,515,8,1,8,412,742,8,2,8,358,239,5,3,4,823,3256,9,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,-1,-1,-1,-1,-1,-1,-1
3,0,5,601,2763,8,1,4,900,714,9,2,3,434,4971,8,3,8,925,3238,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,3,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,1,563,1938,2,1,8,563,2536,7,2,1,870,2853,2,3,0,730,932,9,6,0,2,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,4,374,1467,5,1,3,615,944,4,2,8,153,3150,5,3,2,237,2197,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,2,1,-1,-1,-1,-1,-1,-1,2,0,1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,4,642,1651,6,1,3,833,4212,5,2,0,233,3221,2,3,6,790,2164,6,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,6,622,1484,4,1,5,41,2060,7,2,7,868,1714,7,3,2,33,4183,8,0,2,2,-1,-1,-1,-1,-1,-1,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1,0,2,0,-1,-1,-1,-1,-1,-1,-1,2,0,1,2,-1,-1,-1,-1,-1,-1
2,0,4,685,1655,4,1,1,315,1202,5,2,5,797,4510,3,3,3,400,3035,8,2,0,1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,2,129,1157,4,1,6,741,1712,4,2,5,594,3262,7,3,0,270,2498,5,7,2,-1,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,4,-1,-1,-1,-1,-1,-1
2,0,0,565,4870,7,1,4,80,175,5,2,5,189,1414,8,3,7,28,1875,8,2,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,-1,-1,-1,-1,-1,-1,-1,0,1,2,2,-1,-1,-1,-1,-1,-1
3,0,2,865,761,6,1,6,873,469,3,2,5,432,829,6,3,5,350,2300,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1
2,0,4,271,2863,4,1,5,414,3577,5,2,6,209,1210,8,3,4,540,4476,9,2,0,2,1,-1,-1,-1,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1
2,0,1,118,4861,6,1,7,276,3570,8,2,1,764,2245,2,3,8,190,4204,4,2,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,1,-1,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,-1,0,0,2,1,-1,-1,-1,-1,-1,-1
2,0,5,111,3973,2,1,7,990,3361,9,2,8,192,4567,9,3,4,818,203,8,1,1,0,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1
3,0,6,439,3919,2,1,5,876,4830,4,2,0,162,2264,9,3,4,281,1039,5,0,6,2,6,-1,-1,-1,-1,-1,-1,3,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,4,399,2919,5,1,0,836,3761,3,2,0,589,1200,3,3,1,705,3353,5,7,7,9,7,-1,-1,-1,-1,-1,-1,5,5,4,-1,-1,-1,-1,-1,-1,-1,4,5,4,9,-1,-1,-1,-1,-1,-1,4,5,9,9,-1,-1,-1,-1,-1,-1
3,0,5,913,2771,2,1,0,122,1296,2,2,0,974,4747,4,3,2,618,4714,9,2,2,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,1,3,1,0,-1,-1,-1,-1,-1,-1
3,0,1,877,3627,8,1,6,812,1198,8,2,3,75,3651,2,3,2,620,1462,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,-1,-1,-1,-1,-1,-1,3,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,-1,-1
3,0,7,244,1143,9,1,4,849,1820,4,2,5,756,2867,3,3,8,113,975,2,0,2,0,-1,-1,-1,-1,-1,-1,-1,1,3,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,8,467,270,7,1,4,973,4993,3,2,6,976,920,6,3,5,617,4512,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1
2,0,7,775,1396,4,1,0,671,488,9,2,0,680,963,9,3,8,742,850,8,0,0,1,1,-1,-1,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,-1,-1,-1,-1,-1,-1,-1
1,0,0,27,434,6,1,8,121,4052,6,2,5,83,125,9,3,5,812,2346,3,6,2,7,7,-1,-1,-1,-1,-1,-1,4,3,1,3,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1
0,0,2,21,3446,6,1,4,211,2869,8,2,4,328,288,4,3,1,227,1977,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,-1,-1,-1,-1,-1,-1,-1,5,5,9,9,-1,-1,-1,-1,-1,-1,4,5,-1,-1,-1,-1,-1,-1,-1,-1
2,0,7,627,568,2,1,0,297,4612,3,2,4,537,3907,8,3,8,105,4871,7,1,2,0,0,-1,-1,-1,-1,-1,-1,2,1,1,1,-1,-1,-1,-1,-1,-1,0,2,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,0,21,1985,6,1,3,236,4661,5,2,0,498,4376,7,3,0,217,4194,9,2,6,-1,-1,-1,-1,-1,-1,-1,-1,0,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,4,26,1923,6,1,2,454,4740,8,2,7,925,2274,2,3,4,910,941,9,0,6,-1,-1,-1,-1,-1,-1,-1,-1,1,3,0,0,-1,-1,-1,-1,-1,-1,0,3,3,3,-1,-1,-1,-1,-1,-1,3,3,0,-1,-1,-1,-1,-1,-1,-1
2,0,4,513,1735,9,1,1,243,2637,5,2,3,703,3098,2,3,7,906,3983,2,1,0,2,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,1,-1,-1,-1,-1,-1,-1
2,0,5,566,3876,9,1,5,585,2933,6,2,4,622,2420,5,3,2,581,3402,8,0,2,1,-1,-1,-1,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
