hand_strength,preflop_street,preflop_position,preflop_pot_size,preflop_stack_size,preflop_num_players,flop_street,flop_position,flop_pot_size,flop_stack_size,flop_num_players,turn_street,turn_position,turn_pot_size,turn_stack_size,turn_num_players,river_street,river_position,river_pot_size,river_stack_size,river_num_players,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,action_22,action_23,action_24,action_25,action_26,action_27,action_28,action_29,action_30,action_31,action_32,action_33,action_34,action_35,action_36,action_37,action_38,action_39
3,0,6,747,2947,7,1,6,401,2562,3,2,3,394,2547,9,3,0,49,3360,2,6,0,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,-1,-1,-1,-1,-1,-1,-1,-1
1,0,1,50,2702,6,1,1,359,1058,7,2,6,273,2083,4,3,6,330,4092,9,6,7,6,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,-1,-1,3,3,4,-1,-1,-1,-1,-1,-1,-1
1,0,8,636,1568,5,1,8,466,3209,5,2,3,444,4179,6,3,2,962,3154,8,7,7,6,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,3,4,-1,-1,-1,-1,-1,-1
2,0,8,282,3491,3,1,7,646,4904,7,2,7,642,747,5,3,1,289,1343,6,2,2,2,0,-1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,2,0,-1,-1,-1,-1,-1,-1,-1
1,0,3,586,2979,9,1,4,955,1258,8,2,2,602,1091,3,3,6,896,214,4,6,6,6,7,-1,-1,-1,-1,-1,-1,4,3,1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,6,715,946,8,1,6,834,895,9,2,2,67,1526,8,3,6,708,4542,6,6,2,0,0,-1,-1,-1,-1,-1,-1,3,0,1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1,-1,-1,-1
3,0,1,928,1338,8,1,4,591,341,9,2,0,330,3557,3,3,4,585,1039,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,1,3,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1
1,0,2,248,4923,7,1,2,755,1985,4,2,1,376,1139,6,3,0,961,724,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,4,3,-1,-1,-1,-1,-1,-1,4,1,1,-1,-1,-1,-1,-1,-1,-1
2,0,3,453,3090,5,1,5,461,4190,2,2,8,383,2188,7,3,5,449,1934,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1
1,0,4,480,4902,5,1,7,138,4314,4,2,4,763,1966,7,3,7,467,329,3,2,6,2,-1,-1,-1,-1,-1,-1,-1,3,4,3,4,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,3,546,4663,4,1,3,969,1759,8,2,0,259,3687,6,3,5,179,1928,6,1,1,1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,-1,-1,-1,-1,-1,-1,1,2,0,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,2,498,3997,9,1,4,713,2626,9,2,6,129,4414,8,3,7,692,4520,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1
2,0,3,234,1193,9,1,8,426,3884,5,2,1,79,3343,3,3,0,679,4171,6,2,0,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,7,727,3957,3,1,0,406,2295,4,2,0,276,2947,6,3,0,569,3777,9,6,6,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,3,1,0,0,-1,-1,-1,-1,-1,-1
1,0,2,923,4909,7,1,6,76,675,3,2,8,152,3206,7,3,0,620,4822,7,7,7,6,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,1,636,353,2,1,7,601,446,8,2,5,969,3149,3,3,7,871,3304,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,5,838,4196,6,1,0,788,3469,7,2,5,924,4191,2,3,3,317,1196,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,0,-1,-1,-1,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,-1,0,2,-1,-1,-1,-1,-1,-1,-1,-1
2,0,3,459,1274,9,1,7,139,1022,7,2,5,532,4420,6,3,4,940,1247,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,-1,-1,-1,-1,-1,-1
2,0,6,958,595,7,1,2,769,2644,2,2,8,345,1904,8,3,2,114,4609,8,1,0,2,1,-1,-1,-1,-1,-1,-1,2,2,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1
3,0,6,334,490,9,1,5,67,825,7,2,4,96,2924,8,3,0,515,2058,7,6,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,-1,-1,0,3,-1,-1,-1,-1,-1,-1,-1,-1
0,0,6,55,1248,6,1,5,973,4854,3,2,3,511,3508,5,3,1,428,4051,7,9,8,8,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,9,4,5,-1,-1,-1,-1,-1,-1,9,4,-1,-1,-1,-1,-1,-1,-1,-1
1,0,5,222,3737,7,1,5,457,2166,6,2,1,26,4123,2,3,1,382,2036,2,7,2,-1,-1,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,8,657,3267,2,1,4,448,2739,4,2,8,66,4115,3,3,7,23,4733,6,0,6,0,-1,-1,-1,-1,-1,-1,-1,3,1,1,-1,-1,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1
1,0,2,706,1216,7,1,8,210,4524,2,2,8,391,2416,6,3,0,507,2026,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,1,3,-1,-1,-1,-1,-1,-1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,3,-1,-1,-1,-1,-1,-1
3,0,4,484,2730,8,1,2,263,3885,6,2,2,400,1920,6,3,7,58,4111,7,0,2,0,-1,-1,-1,-1,-1,-1,-1,0,0,3,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
2,0,4,775,621,2,1,8,391,3139,5,2,0,424,340,6,3,0,834,4710,8,1,2,2,0,-1,-1,-1,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,4,953,4355,3,1,2,440,3792,8,2,2,206,1833,4,3,3,797,1507,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,6,525,4253,2,1,3,896,4243,2,2,6,920,845,7,3,8,859,4499,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,0,3,3,3,-1,-1,-1,-1,-1,-1
3,0,2,125,4897,8,1,8,929,1394,3,2,0,978,2327,3,3,7,246,3677,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,-1,-1,-1,-1,-1,-1,-1
3,0,8,832,2235,6,1,8,848,3502,7,2,0,481,2733,8,3,8,611,690,7,6,2,6,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,3,1,0,1,-1,-1,-1,-1,-1,-1
1,0,2,149,987,7,1,3,610,3560,6,2,5,677,4957,6,3,4,620,168,9,7,6,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,3,-1,-1,-1,-1,-1,-1,1,3,3,3,-1,-1,-1,-1,-1,-1
1,0,6,673,4090,5,1,2,776,2763,7,2,7,497,995,7,3,0,523,2187,5,6,6,-1,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,3,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
3,0,5,953,2124,5,1,4,89,4705,8,2,5,889,497,3,3,7,110,2171,7,6,0,6,-1,-1,-1,-1,-1,-1,-1,3,1,3,-1,-1,-1,-1,-1,-1,-1,0,3,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1
3,0,6,364,3085,9,1,4,322,4274,3,2,7,190,3082,6,3,3,479,961,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,3,3,-1,-1,-1,-1,-1,-1,-1,3,3,0,3,-1,-1,-1,-1,-1,-1,0,1,3,-1,-1,-1,-1,-1,-1,-1
3,0,6,722,2769,2,1,5,10,1745,4,2,6,967,2635,8,3,2,757,505,4,2,0,2,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1
2,0,3,921,2861,2,1,8,624,3945,8,2,8,118,128,9,3,7,928,772,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,3,115,664,9,1,4,900,2931,5,2,1,391,1226,9,3,1,862,1286,9,2,2,0,-1,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,0,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1
3,0,8,885,3570,9,1,3,801,4119,7,2,6,985,1060,4,3,6,161,2228,5,0,2,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,3,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,3,1,-1,-1,-1,-1,-1,-1
3,0,2,792,552,9,1,4,828,3824,9,2,6,907,1757,8,3,4,737,397,7,6,2,2,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,-1,-1,-1,-1,-1,-1,-1
2,0,8,718,740,8,1,0,322,2746,9,2,4,78,2912,7,3,5,38,4193,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,2,707,4625,3,1,8,969,190,5,2,4,495,3049,4,3,8,643,324,5,6,6,2,-1,-1,-1,-1,-1,-1,-1,4,1,1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,1,-1,-1,-1,-1,-1,-1,-1
0,0,5,22,269,2,1,1,923,3132,2,2,1,306,3546,5,3,6,482,624,5,9,8,8,-1,-1,-1,-1,-1,-1,-1,9,4,-1,-1,-1,-1,-1,-1,-1,-1,9,9,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,-1,-1,-1,-1,-1,-1,-1
2,0,2,239,4798,7,1,6,558,3336,6,2,5,284,2047,9,3,5,28,3625,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,1,844,1869,8,1,4,239,2115,7,2,0,324,239,2,3,3,524,329,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,3,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,4,908,2692,4,1,0,677,2935,6,2,0,32,2245,9,3,5,334,4579,6,2,7,2,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,-1,-1,-1
2,0,6,282,1476,2,1,4,347,3196,6,2,3,891,4360,8,3,1,311,560,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1
1,0,7,278,1447,6,1,1,431,1525,2,2,4,579,378,6,3,5,236,976,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,4,4,3,-1,-1,-1,-1,-1,-1,-1
3,0,2,557,4774,8,1,3,173,2724,3,2,2,77,616,8,3,0,353,280,8,2,0,0,-1,-1,-1,-1,-1,-1,-1,3,0,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1
2,0,6,959,3375,3,1,0,251,4245,3,2,7,752,3305,6,3,3,191,2597,4,2,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,2,0,2,2,-1,-1,-1,-1,-1,-1
1,0,1,846,499,4,1,6,745,478,5,2,1,977,984,4,3,7,184,3804,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,-1,-1,-1,-1,-1,-1,-1,1,4,1,-1,-1,-1,-1,-1,-1,-1
3,0,6,147,359,9,1,5,908,1438,7,2,7,542,4072,7,3,2,712,4592,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,3,-1,-1,-1,-1,-1,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1
1,0,1,21,635,8,1,4,81,2638,6,2,2,663,535,7,3,6,987,471,8,6,7,2,-1,-1,-1,-1,-1,-1,-1,1,1,4,1,-1,-1,-1,-1,-1,-1,3,3,3,1,-1,-1,-1,-1,-1,-1,4,3,-1,-1,-1,-1,-1,-1,-1,-1
2,0,2,451,4140,8,1,8,207,2853,7,2,7,629,134,8,3,1,380,2230,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,1,-1,-1,-1,-1,-1,-1
3,0,7,178,631,6,1,8,692,1183,2,2,5,20,4615,3,3,0,273,3304,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,3,0,0,3,-1,-1,-1,-1,-1,-1,0,3,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,6,684,4858,4,1,7,41,1385,3,2,3,523,1585,4,3,7,962,1470,9,0,2,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,0,-1,-1,-1,-1,-1,-1,2,0,0,1,-1,-1,-1,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,-1
3,0,6,281,1318,4,1,8,28,1933,8,2,6,604,322,2,3,5,840,2660,8,6,2,6,0,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,6,339,1940,8,1,0,982,4802,3,2,3,690,2082,9,3,4,588,2711,5,2,1,0,1,-1,-1,-1,-1,-1,-1,2,2,0,2,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,-1
2,0,1,12,622,8,1,8,503,1242,4,2,0,966,3730,5,3,1,839,4011,9,0,1,2,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1
2,0,2,615,1320,6,1,2,916,2966,3,2,7,768,1339,8,3,2,89,683,9,2,2,-1,-1,-1,-1,-1,-1,-1,-1,0,2,2,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,2,-1,-1,-1,-1,-1,-1
2,0,7,620,4006,6,1,3,788,4817,8,2,2,961,1102,6,3,7,936,4037,7,1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,5,801,2423,3,1,0,927,2224,6,2,4,197,689,8,3,0,250,2750,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,4,3,3,1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,1,652,4812,8,1,2,482,2347,9,2,8,545,3071,8,3,3,449,459,3,6,6,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,1,1,-1,-1,-1,-1,-1,-1
3,0,2,327,2797,4,1,0,184,3984,9,2,8,641,1913,5,3,8,154,518,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,3,1,-1,-1,-1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,3,1,3,0,-1,-1,-1,-1,-1,-1
3,0,6,289,920,5,1,8,402,1922,2,2,3,881,2085,5,3,4,157,2741,4,2,6,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,3,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,-1,-1,-1,-1,-1,-1,-1,-1
2,0,5,619,1826,5,1,6,769,4863,4,2,4,406,1906,5,3,0,562,908,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1,0,2,0,2,-1,-1,-1,-1,-1,-1
1,0,6,659,258,6,1,0,755,3649,2,2,7,673,4292,3,3,6,482,1109,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,4,-1,-1,-1,-1,-1,-1
1,0,1,337,1538,8,1,0,770,4010,9,2,6,224,2662,7,3,8,534,3623,8,7,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,1,4,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,4,566,1529,3,1,0,507,3892,3,2,0,365,1164,4,3,0,897,3140,4,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,2,2,-1,-1,-1,-1,-1,-1,1,2,0,1,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1
3,0,7,100,4798,7,1,7,580,3850,7,2,1,407,4746,9,3,1,734,4424,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,3,394,3067,9,1,1,954,1097,6,2,1,621,228,5,3,5,99,4660,8,2,6,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,3,0,-1,-1,-1,-1,-1,-1
3,0,4,475,1569,3,1,0,727,3562,9,2,6,282,4182,9,3,2,532,1226,7,6,6,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
3,0,2,118,4151,6,1,7,690,4167,2,2,2,579,2385,8,3,3,108,3104,4,0,0,2,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
